Size;Time;Thread
5;2.91802e-05;1
5;2.97315e-05;1
5;2.96049e-05;1
5;2.95304e-05;1
5;2.93031e-05;1
5;0.000125952;2
5;3.5774e-05;2
5;6.23986e-05;2
5;3.89554e-05;2
5;4.45507e-05;2
5;2.84724e-05;4
5;3.76478e-05;4
5;3.09125e-05;4
5;3.8106e-05;4
5;3.01972e-05;4
5;4.76986e-05;8
5;3.57926e-05;8
5;3.8743e-05;8
5;4.09931e-05;8
5;3.59863e-05;8
5;2.87555e-05;16
5;3.15756e-05;16
5;3.22051e-05;16
5;3.07299e-05;16
5;3.09646e-05;16
5;3.58745e-05;32
5;5.05522e-05;32
5;3.4675e-05;32
5;3.07076e-05;32
5;3.27639e-05;32
5;3.45483e-05;64
5;3.91491e-05;64
5;5.17517e-05;64
5;3.26149e-05;64
5;3.37735e-05;64
6;0.000107985;1
6;0.000116713;1
6;0.000108667;1
6;0.00010876;1
6;0.000108451;1
6;0.000105459;2
6;0.000114333;2
6;9.14335e-05;2
6;0.000106797;2
6;0.00010084;2
6;8.70824e-05;4
6;9.46447e-05;4
6;0.000100631;4
6;0.000110544;4
6;9.82694e-05;4
6;8.00267e-05;8
6;8.62293e-05;8
6;8.13939e-05;8
6;8.44449e-05;8
6;7.37868e-05;8
6;6.07595e-05;16
6;8.95076e-05;16
6;8.39494e-05;16
6;9.10908e-05;16
6;7.34515e-05;16
6;6.88173e-05;32
6;7.5575e-05;32
6;7.79368e-05;32
6;7.11828e-05;32
6;7.91401e-05;32
6;8.5108e-05;64
6;6.72899e-05;64
6;7.16858e-05;64
6;7.21291e-05;64
6;7.0408e-05;64
7;0.000190917;1
7;0.000191282;1
7;0.000191074;1
7;0.00019094;1
7;0.00019107;1
7;0.000178285;2
7;0.000160825;2
7;0.000140052;2
7;0.000142302;2
7;0.00013721;2
7;0.000186309;4
7;0.000185277;4
7;0.000171721;4
7;0.00016778;4
7;0.00016715;4
7;0.000167213;8
7;0.000185773;8
7;0.000203945;8
7;0.000180569;8
7;0.000197683;8
7;0.000137318;16
7;0.000130083;16
7;0.00012752;16
7;0.000143073;16
7;0.000122443;16
7;0.000104237;32
7;0.000114165;32
7;0.000117552;32
7;0.000119362;32
7;0.000126634;32
7;8.86023e-05;64
7;0.000110086;64
7;0.000111058;64
7;0.000121381;64
7;0.000130858;64
8;0.00055898;1
8;0.000543248;1
8;0.000541475;1
8;0.000547659;1
8;0.000549883;1
8;0.00073253;2
8;0.000698306;2
8;0.00069635;2
8;0.000701103;2
8;0.000595085;2
8;0.000537097;4
8;0.000531711;4
8;0.000449397;4
8;0.00045016;4
8;0.000444677;4
8;0.000359233;8
8;0.000353564;8
8;0.000357963;8
8;0.000353459;8
8;0.000357337;8
8;0.000207912;16
8;0.000213891;16
8;0.000181627;16
8;0.000194613;16
8;0.000182346;16
8;0.000211295;32
8;0.000198267;32
8;0.000197913;32
8;0.000207536;32
8;0.000201531;32
8;0.000139471;64
8;0.00012638;64
8;0.000113532;64
8;0.000109367;64
8;0.000120718;64
9;0.00243115;1
9;0.00239014;1
9;0.00242343;1
9;0.00246428;1
9;0.00246293;1
9;0.00315716;2
9;0.00223337;2
9;0.0021476;2
9;0.00215643;2
9;0.00219477;2
9;0.00146884;4
9;0.0011057;4
9;0.00110655;4
9;0.00113961;4
9;0.00114536;4
9;0.000702716;8
9;0.000726189;8
9;0.000665195;8
9;0.000669967;8
9;0.00067215;8
9;0.000544745;16
9;0.000399344;16
9;0.00040248;16
9;0.000397831;16
9;0.000382651;16
9;0.000385359;32
9;0.000362217;32
9;0.000332944;32
9;0.000339255;32
9;0.000330362;32
9;0.000346091;64
9;0.000346348;64
9;0.000323456;64
9;0.000333499;64
9;0.000334956;64
10;0.00988054;1
10;0.00992234;1
10;0.00990858;1
10;0.00984634;1
